ISO3,name,isInboundRestricted,isInboundLandRestricted,isInboundCompletelyRestricted,inboundRestrictedCountryNamesRaw
TUR,Turkey,TRUE,TRUE,FALSE,"Angola, Austria, Azerbaijan, Algeria, Bangladesh, Belgium, Cameroon, Canada, Chad, Czech Republic, China, Colombia,  Djibouti, Denmark, Dominican Republic, Ecuador, Egypt, Equatorial Guinea, Finland, France, Germany, Guatemala, Georgia, Hungary, India, Italy, Iraq, Iran, Ireland, Ivory Coast, Jordan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Montenegro, Mongolia, Morocco, Moldova, Mauritania, Nepal, Niger, Norway, Netherlands, North Macedonia, Oman, Philippines, Panama, Peru, Poland, Portugal, South Korea, Slovenia, Sri Lanka, Sudan, Saudi Arabia, Spain, Sweden, Switzerland, Cyprus, Taiwan, Tunisia, Uzbekistan, United Arab Emirates, United Kingdom, Ukraine"
TKM,Turkmenistan,TRUE,TRUE,TRUE,
TWN,Taiwan,TRUE,TRUE,TRUE,
TUV,Tuvalu,FALSE,,,
UGA,Uganda,TRUE,FALSE,TRUE,
UKR,Ukraine,TRUE,TRUE,TRUE,
ARE,United Arab Emirates,TRUE,FALSE,FALSE,"Lebanon,Turkey,Syria,Iraq"
GBR,United Kingdom,TRUE,FALSE,FALSE,
USA,United States,TRUE,TRUE,FALSE,"China, Iran, Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom, Ireland"
URY,Uruguay,TRUE,FALSE,FALSE,Europe
UZB,Uzbekistan,TRUE,TRUE,TRUE,
VUT,Vanuatu,FALSE,,,
VEN,Venezuela,TRUE,FALSE,FALSE,"Europe,Colombia,Panama,Dominican Republic"
VNM,Vietnam,TRUE,TRUE,TRUE,
YEM,Yemen,TRUE,TRUE,TRUE,
ZMB,Zambia,FALSE,,,
ZWE,Zimbabwe,FALSE,,,
